start	end	text
0	1000	Section 35: now was that David had received from Dr. Harold Puthoff a tiny piece of metamaterial that, given its construction and composition, is believed not made on earth. A renowned physicist, Dr. Puthoff’s work dates back to the Stanford Research Institute (SRI) and the once classified CIA funded Stargate Program. Hal also conducted extensive experiments with Uri Geller back in the 1970s. I had just taken part in a double-blind EEG experiment at the Monroe Institute using
1000	2000	Section 7: Larry made a call to a contact within the CIA. Security tightened on the Walt Whitman and Betsy Ross bridges, and vehicle traffic was completely shut down on the Ben Franklin Bridge. Compared to his two previous stops in New York City and Washington D.C., the pope’s parade was shortened while in Philadelphia to a simple tour around Independence Hall. Federal prosecutors ended up indicting a local man with plotting to assassinate the pope near the Ben
2000	3000	Section 34: e me a beautiful letter asking to meet me. Like Tim Taylor, he had worked at the cutting edge of technological military research for many years. He was a professor at Virginia Polytechnic Institute and State University (Virginia Tech) and served as the director of its Hume Center for National Security and Technology. He also had a PhD in mathematics from Brown University, so he seemed like exactly the kind of scholar-government official hybrid that
3000	4000	Section 34: lt up a small arsenal that cumulatively have captured thousands of images and videos. Around Thanksgiving that year after another podcast, a scientist named Dr. Bob McGwier wrote me a beautiful letter asking to meet me. Like Tim Taylor, he had worked at the cutting edge of technological military research for many years. He was a professor at Virginia Polytechnic Institute and State University (Virginia Tech) and served as the director of its Hume Cent
4000	5000	Section 7: the U.S. Capital building in a secured classified briefing room. The man whom, I was told, could make anyone disappear (which I felt could not possibly be true, but the fact that I heard it stayed with me). A retired U.S. Army Colonel and PhD, John Alexander was known for having had a hand in almost every top-secret paranormal military project. He was with billionaire Robert Bigelow the day Bigelow bought Skinwalker Ranch and he spent the first night
5000	6000	Section 16: earts they harbor deceit. After Steve submitted his report that February, we kept in touch. It became clear that MUFON was interested in a more comprehensive investigation. As Steve was a lower-level volunteer overseeing North Carolina and Virginia, the top brass decided to get personally involved. It turned out that MUFON had recently gotten a greenlight from the Discovery Channel to make a three-episode series on the investigations they were most in
6000	7000	Section 16: UFO of GOD: The Extraordinary True Story of Chris Bledsoe Chapter 10 Enemies disguise themselves with their lips, but in their hearts they harbor deceit. After Steve submitted his report that February, we kept in touch. It became clear that MUFON was interested in a more comprehensive investigation. As Steve was a lower-level volunteer overseeing North Carolina and Virginia, the top
7000	8000	Section 22: lder in Fayetteville never afforded, but I was glad to be there regardless. I mainly stayed at our table with Kathleen Marden and Linda Moulton Howe, two of the best-known writers and journalists on UFOs and abductions, Stanton Friedman, a nuclear physicist who was first on the scene at Roswell, and Diana. Yvonne went all around the room meeting as many people as possible. Larry Frascella, the man supposedly behind the curtain for the whole event, noti
8000	9000	Section 29: and rockets. The various names and numbers started to blur together in my head, but the scale and complexity of what I saw was staggering. At the center of the various launchpads and structures was a behemoth called the Vehicle Assembly Building, painted with the American flag and the NASA logo on either side. Originally intended for the housing and assembly of four Saturn Rockets at a time, it is the eighth largest building in the world by volume. Its doors ta
9000	10000	Section 35: ontained the metamaterial. Later that day, David told me that Uri Geller had a similar experience with a piece of material that Wernher von Braun handed him while at the NASA space research laboratory, Goddard Space Flight Center, just outside of Washington DC. Uri described the slender twelve-inch-long metallic piece as having a color like h
