start	end	text
0	1000	"Section 12: Waraqi of Ibn Umail."" Ambix, vol 3, pp 69-90, 1949. Steele, R. and Singer, D.W. ""The Emerald Table"". Proceedings of the Royal Society of Medicine vol 21, 1928. Anon, Secret Symbols of the Rosicrucians (i.e. Paul Allen, A Christian Rosenkreutz Anthology, Steinerbooks, third edition pp 228-30). AMORC Supplementary Monograph: Hermetic Teachings RAD-13, Lecture Number 2, Inner Hermetic Teachings. McLean, A & Tahil, P. Ampitheatre Engavings of Heinrich Kunrath. pp 28, 73-6"
1000	2000	Section 27: ntal Gender. This idea of Mental Gender may be explained in a few words to students who are familiar with the modern theories just alluded to. The Masculine Principle of Mind corresponds to the so-called Objective Mind; Conscious Mind; Voluntary Mind; Active Mind, etc. And the Feminine Principle of Mind corresponds to the so-called Subjective Mind; Sub-conscious Mind; Involuntary Mind; Passive Mind, etc. Of course the Hermetic Teachings do not agree
2000	3000	"Section 12: Jong, H.M.E. Michael Maiers's Atlanta Fugiens: Sources of an Alchemical Book of Emblems. E.J. Brill, Leiden, 1969. Dobbs, B.J. ""Newton's Commentary on the Emerald Tablet of Hermes Trismegistus"" in Merkel, I and Debus A.G. Hermeticism and the Renaissance. Folger, Washington 1988. Fulcanelli. Les Demeures Philosophales. Jean Jacques Pavert, Paris, 1964. Hall, M.P. The Secret Teachings of all Ages. Philosophical Research, L.A. 1977 pp CLVII-CLVIII. Hol"
3000	4000	"Section 3: f the Tablet Chapter II: Translations Chapter III: Textual Remarks Chapter IV: Commentaries Chapter VI: A Commentary of Ibn Umail Chapter I: The Hermetic Philosophy Chapter II: The Seven Hermetic Principles Chapter III: Mental Transmutation Chapter V: The Mental Universe Chapter VI: The Divine Paradox Chapter VII: ""The All"" in All Chapter VIII: Planes of Correspondence Chapter XIV: Mental Gender Chapter XV: Hermetic Axioms"
4000	5000	Section 27: ed Objective Mind; Conscious Mind; Voluntary Mind; Active Mind, etc. And the Feminine Principle of Mind corresponds to the so-called Subjective Mind; Sub-conscious Mind; Involuntary Mind; Passive Mind, etc. Of course the Hermetic Teachings do not agree with the many modern theories regarding the nature of the two phases of mind, nor does it admit many of the facts claimed for the two respective aspects—some of the said theories and claims being very far-f
5000	6000	Section 2: : 978-1-946774-82-8 1. Body, Mind & Spirit—Alchemy, 2. Body, Mind & Spirit—Mysticism, 3. Body, Mind & Spirit—Inspiration & Personal Growth, 4. Philosophy—Metaphysics, 5. Gnosticism, 6. Magic, Alchemy & Hermetic Thought. I. Hermes Trismegistus. II. The Three Initiates. III. Title. IV. Title : Two Classic Books on Hermetic Philosophy OCC042000/ OCC012000 / OCC019000 / PHI013000 / QRYC1 / QRYX2 Type Set in Century Schoolbook/ Franklin Gothic Demi Quicktime Pres
6000	7000	"Section 21: e Seven Minor Planes of the Great Spiritual Plane exist Beings of whom we may speak as Angels; Archangels; Demi-Gods. On the lower Minor Planes dwell those great souls whom we call Masters and Adepts. Above them come the Great Hierarchies of the Angelic Hosts, unthinkable to man; and above those come those who may without irreverence be called ""The Gods,"" so high in the scale of Being are they, their being, intelligence and power being akin to those attr"
7000	8000	"Section 12: J. Alchemy, Pelican, Harmondsworth 1957 pp 95-8. Linden, Stanton J. ed. ""The Mirror of Alchimy Composed by the Thrice-Famous and Learned Fryer Roger Bacon (1597), Garland, NY. 1992. Manzalaoui, M.A. Secretum Secretorum: Nine English Versions, Early English Text Society. OUP, 1977. Needham, J.Science and Civilisation in China vol 5, part 4: Spagyrical discovery and invention: Apparatus, Theories and gifts. CUP, 1980. Read, John. Prelude to Chemistry, G. Bell"
8000	9000	Section 21: atter is but a form of Energy—.that is, Energy at a low rate of vibrations of a certain kind. And accordingly the Hermetists classify Matter under the head of Energy, and give to it three of the Seven Minor Planes of the Great Physical Plane. These Seven Minor Physical Planes are as follows: 1. The Plane of Matter (A) 2. The Plane of Matter (B) 3. The Plane of Matter (C) 4. The Plane of Ethereal Substance 5. The Plane of Energy (A) 6. The Plane of Energy (B
9000	10000	Section 14: al esoteric and occult teachings which have so strongly influenced the philosophies of all races, nations and peoples, for several thousand years. Egypt, the home of the Pyramids and the Sphinx, was the birthplace of the Hidden Wisdom and Mystic Teachings. From her Secret Doctrine all nations have borrowed. India, Persia, Chaldea, Medea, China, Japan, Assyria, ancient Greece and Rome, and other ancient countries partook liberally at the feast of know
10000	11000	Section 16: nd evil, for the force can be used in opposite directions according to the Hermetic Principles of Polarity. In this little book we shall state the basic principles of Mental Transmutation, that all who read may grasp the Underlying Principles, and thus possess the Master-Key that will unlock the many doors of the Principle of Polarity. We shall now proceed to a consideration of the first of the Hermetic Seven Principles—the Principle of Mentalism, in which i
11000	12000	Section 20: At the last, THE ALL is All Reason in Itself; All Law in Itself; All Action in Itself—and it may be said, truthfully, that THE ALL is Its Own Reason; its own Law; its own Act—or still further, that THE ALL; Its Reason; Its Act; is Law; are ONE, all being names for the same thing. In the opinion of those who are giving you these present lessons, the answer is locked up in the INNER SELF of THE ALL, along with its Secret of Being. The Law of Co
12000	13000	"Section 20: e matter is Unthinkable, just as THE ALL is Unknowable. Just as we say THE ALL merely ""IS""—so we are compelled to say that ""THE ALL ACTS BECAUSE IT ACTS."" At the last, THE ALL is All Reason in Itself; All Law in Itself; All Action in Itself—and it may be said, truthfully, that THE ALL is Its Own Reason; its own Law; its own Act—or still further, that THE ALL; Its Reason; Its Act; is Law; are ONE, all being names for the same thing. In the opinion"
13000	14000	"Section 21: hem we scarcely seem to ""think,"" and our mental processes seem almost akin to material processes; the Matter of which their forms are composed is of the highest Planes of Matter, nay, some are even said to be ""clothed in Pure Energy."" What may be said of such Beings? On the Seven Minor Planes of the Great Spiritual Plane exist Beings of whom we may speak as Angels; Archangels; Demi-Gods. On the lower Minor Planes dwell those great souls whom we cal"
14000	15000	"Section 12: Shah, Idres. The Sufis. Octagon, London 1977 p 198. Sherwood Taylor, F. The Alchemists. Paladin, London, 1976 pp 77-8. Stapleton, H.E., Lewis, G.L. Sherwood Taylor, F. ""The sayings of Hermes quoted in the Ma Al-Waraqi of Ibn Umail."" Ambix, vol 3, pp 69-90, 1949. Steele, R. and Singer, D.W. ""The Emerald Table"". Proceedings of the Royal Society of Medicine vol 21, 1928. Anon, Secret Symbols of the Rosicrucians (i.e. Paul Allen, A Christian Rosenkre"
15000	16000	"Section 14: adily understood by students, after the axioms, maxims, and precepts had been explained and exemplified by the Hermetic Initiates to their Neophytes. These teachings really constituted the basic principles of ""The Art of Hermetic Alchemy,"" which, contrary to the general belief, dealt in the mastery of Mental Forces, rather than Material Elements—the Transmutation of one kind of Mental Vibrations into others, instead of the changing of one kind of metal"
16000	17000	"Section 14: occultism of India and Persia has been gradually lost amidst the mass of religious superstition, cults, creeds and ""gods."" So it was with Ancient Greece and Rome. So it was with the Hermetic Teachings of the Gnostics and Early Christians, which were lost at the time of Constantine, whose iron hand smothered philosophy with the blanket of theology, losing to the Christian Church that which was its very essence and spirit, and causing it to grope througho"
17000	18000	Section 15: ender works ever in the direction of generation, regeneration, and creation. Everything, and every person, contains the two Elements or Principles, or this great Principle, within it, him or her. Every Male thing has the Female Element also; every Female contains also the Male Principle. If you would understand the philosophy of Mental and Spiritual Creation, Generation, and Re-generation, you must understand and study this Hermetic Principle. It cont
18000	19000	Section 18: , and you shall explore its farthest recesses before the end of Time. You are dwelling in the Infinite Mind of THE ALL, and your possibilities and opportunities are infinite, both in time and space. And at the end of the Grand Cycle of Aeons, when THE ALL shall draw back into itself all of its creations—you will go gladly for you will then be able to know the Whole Truth of being At One with THE ALL. Such is the report of the Illumined—those who ha
19000	20000	Section 18: Divine Father, and Nature the Universal Mother—and have thus instinctively acknowledged the Principle of Gender in the Universe. Is this not so? But, the Hermetic teaching does not imply a real duality—THE ALL is ONE—the Two Aspects are merely aspects of manifestation. The teaching is that The Masculine Principle manifested by THE ALL stands, in a way, apart from the actual mental creation of the Universe. It projects its Will toward the Feminine P
20000	21000	"Section 20: conception or creation. And yet, Shakespeare also existed within each of these characters, giving them their vitality, spirit, and action. Whose is the ""spirit"" of the characters that we know as Micawber, Oliver Twist, Uriah Heep—is it Dickens, or have each of these characters a personal spirit, independent of their creator? Have the Venus of Medici, the Sistine Madonna, the Apollo Belvidere, spirits and reality of their own, or do they represen"
21000	22000	"Section 20: end is THE ALL. All progress is a Returning Home. All is Upward and Onward, in spite of all seemingly contradictory appearances. Such is the message of the Illumined. The Hermetic Teachings concerning the process of the Mental Creation of the Universe, are that at the beginning of the Creative Cycle, THE ALL, in its aspect of Being, projects its Will toward its aspect of ""Becoming"" and the process of creation begins. It is taught that the process cons"
22000	23000	"Section 21: "" being the only one applicable to them. Many of these Beings, as well as the Angelic Host, take the greatest interest in the affairs of the Universe and play an important part in its affairs. These Unseen Divinities and Angelic Helpers extend their influence freely and powerfully, in the process of Evolution, and Cosmic Progress. Their occasional intervention and assistance in human affairs have led to the many legends, beliefs, religions and traditio"
23000	24000	Section 21: atter are also sub-divided into seven sub-planes, all divisions being more or less arbitrary, shading into each other, and adopted merely for convenience of scientific study and thought. The Great Physical Plane, and its Seven Minor Planes, is that division of the phenomena of the Universe which includes all that relates to physics, or material things, forces, and manifestations. It includes all forms of that which we call Matter, and all forms of that wh
24000	25000	Section 21: ch has been recognized by the majority of religions in their conceptions of Satan, Beelzebub, the Devil, Lucifer, Fallen Angels, etc. And so the knowledge regarding these Planes has been kept in the Holy of Holies in all Esoteric Fraternities and Occult Orders—in the Secret Chamber of the Temple. But this may be said here, that those who have attained high spiritual powers and have misused them, have a terrible fate in store for them, and the swing of the pe
25000	26000	"Section 21: d by elaborate explanations which are foreign to the purpose of this particular work), but we may as well mention them. They are as follows: 1. The Plane of Mineral Mind 2. The Plane of Elemental Mind (A) 3. The Plane of Plant Mind 4. The Plane of Elemental Mind (B) 5. The Plane of Animal Mind 6. The Plane of Elemental Mind (C) 7. The Plane of Human Mind The Plane of Mineral Mind comprises the ""states or conditions"" of the units or entities, or gr"
26000	27000	"Section 21: e terrible penalty according to the invariable Law. In conclusion we would again remind you that according to the Principle of Correspondence, which embodies the truth: ""As Above so Below; as Below, so Above,"" all of the Seven Hermetic Principles are in full operation on all of the many planes, Physical Mental and Spiritual. The Principle of Mental Substance of course applies to all the planes, for all are held in the Mind of THE ALL. The Principle of Correspond"
27000	28000	Section 21: rch-angel are all but degrees in one scale, and all fundamentally the same, the difference between solely a matter of degree, and rate of vibration—all are creations of THE ALL, and have their existence solely within the Infinite Mind of THE ALL. The Hermetists sub-divide each of the Three Great Planes into Seven Minor Planes, and each of these latter are also sub-divided into seven sub-planes, all divisions being more or less arbitrary, shading into
28000	29000	Section 21: solute Spirit. Only the most advanced Hermetists are able to grasp the Inner Teachings regarding the state of existence, and the powers manifested on the Spiritual Planes. The phenomena is so much higher than that of the Mental Planes that a confusion of ideas would surely result from an attempt to describe the same. Only those whose minds have been carefully trained along the lines of the Hermetic Philosophy for years—yes, those who have brought wit
29000	30000	"Section 21: some few being still further on. The man of the Sixth Sub-Division will be ""The Super-Man""; he of the Seventh will be ""The Over-Man."" In our consideration of the Seven Minor Mental Planes, we have merely referred to the Three Elementary Planes in a general way. We do not wish to go into this subject in detail in this work, for it does not belong to this part of the general philosophy and teachings. But we may say this much, in order to give you a little clear"
30000	31000	"Section 21: t upon The Path. And, then there are a few advanced souls of our own race who have outstripped the masses, and who have passed on to the sixth and seventh sub-division, and some few being still further on. The man of the Sixth Sub-Division will be ""The Super-Man""; he of the Seventh will be ""The Over-Man."" In our consideration of the Seven Minor Mental Planes, we have merely referred to the Three Elementary Planes in a general way. We do not wish"
31000	32000	"Section 27: ents will consider these ""dual minds"" in the light of the Hermetic Teachings regarding Vibrations and Mental Gender, they will see that the long sought for key is at hand. In the phenomena of Telepathy it is seen how the Vibratory Energy of the Masculine Principle is projected toward the Feminine Principle of another person, and the latter takes the seed-thought and allows it to develop into maturity. In the same way Suggestion and Hypnotism operates. T"
32000	33000	"Section 8: ity"". Bacstrom: ""Last Digestion. The Azoth ascends from the Earth, from the bottom of the Glass, and re-descends in Veins and drops into the Earth and by this continual circulation the Azoth is more and more subtilized, Volatilizes Sol and carries the volatilized Solar atoms along with it and thereby becomes a Solar Azoth, i.e. our third and genuine Sophic Mercury"". The circulation must continue until ""it ceases of itself, and the Earth has sucked it"
33000	34000	"Section 12: Albertus Magnus, Book of Minerals, trans D. Wyckoff, OUP, 1967. Anon., Meditations on the Tarot. Amity House, 1985 pp 21-6. Brann, N.L. ""George Ripley and the Abbot Trithemius"", Ambix, vol 26, no. 3, pp 212-220, 1979. Blavatsky, H.P. Isis Unveiled. Theosophical Universit"
34000	35000	Section 14: ry in order to avoid the persecutions of the theologians of the Middle Ages, who fought the Secret Doctrine with fire and sword; stake, gibbet and cross. Even to this day there will be found but few reliable books on the Hermetic Philosophy, although there are countless references to it in many books written on various phases of Occultism. And yet, the Hermetic Philosophy is the only Master Key which will open all the doors of the Occult Teachings! In the
