start	end	text
0	1000	Section 38: Interview by George Knapp. Coast to Coast AM. July 19, 2020. Farrell, Joseph. Reich of the Black Sun: Nazi Secret Weapons & The Cold War Allied Legend. Kempton, IL: Adventures Unlimited Press, 2004. Fein, Esther B. “U.F.O. Landing is Fact, Not Fantasy, the Russians Insist.” New York Times. Section A. Oct 11, 1989. Festinger, Leon, Henry Riecken, and Stanley Schachter. When Prophecy Fails: A Social and Psychological Study of a Modern Group That Pr
1000	2000	Section 31: m. On November 21, 1968, Fred Lee Crisman found himself in front of the Orleans Parish grand jury, being questioned by James Alcock, Andrew Sciambra, Alvin Oser, and Numa Bertel: prosecutors and investigators working for District Attorney Jim Garrison during his celebrated probe into the assassination of President John F. Kennedy. During the questioning, Crisman revealed that he was still in touch with Harold Dahl and that it was Dahl who put him in touch with one Th
2000	3000	Section 38: ary Encounters at Nuclear Weapons Sites. Robert Hastings, 2017. Hermans, H. G. M. Memories of a Maverick. Maassluis, The Netherlands: 1998. Howe, Linda Moulton. “U.S. Navy Flight Engineer Saw Silver Discs and Entrance to Alleged E.T. Base in Antarctica.” Earthfiles website. January 30, 2015. Hsu, Jeremy. “Remembering a Former Caltech Rocket Scientist and the Founder of China’s Space Program.” Los Angeles Times. November 5, 2009. Hubbard, L. Ron, J
3000	4000	Section 38: by H. G. Wells. New York: Tor Books, 1987. Guo, Kayla. “Congress Orders U.F.O. Records Released but Drops Bid for Broader Disclosure.” New York Times. December 14, 2023. Hameroff, Stuart. “Consciousness, Neurobiology and Quantum Mechanics.” In The Emerging Physics of Consciousness, edited by Jack A. Tuszynski. Springer Science & Business Media, 2006. ———. “Consciousness and the Brain with Stuart Hameroff, Part Six: Spiritual Implications.” Taped intervie
4000	5000	Section 38: rder of John F. Kennedy. New York: Pantheon Books, 2002. Manning, Paul. Martin Bormann: Nazi in Exile. Secaucus, NJ: Lyle Stuart, 1981. Marder, Murrey. “The Chinese Scientist We Expelled, and His Pupil in the Pentagon.” Washington Post. June 14, 1981. Martin, James Edward. Wilhelm Reich and the Cold War: The True Story of How a Communist Spy Team, Government Hoodlums and Sick Psychiatrists Destroyed Sexual Science and Cosmic Life Energies. Ashland, OR
5000	6000	Section 31: ell documented. Banister was an FBI agent investigating Kenneth Arnold and Maury Island in July and August 1947. He then wound up in New Orleans, involved with David Ferrie, Jack Martin, Tommy Baumler, and—it is alleged—Lee Harvey Oswald. Fred Lee Crisman was a prime actor in the Maury Island affair, was interviewed by Kenneth Arnold, knew Thomas Beckham and Michael Riconosciuto, and was questioned by Jim Garrison’s Grand Jury in New Orleans in connecti
6000	7000	Section 38: Li Hongzhi. China Falun Gong. Revised edition, English edition. Hong Kong: Falun Fo Fa Publishing Company, 1999. Liu Yicheng. “Preliminary Query into Extraordinary Human Body Functions and Multi-State Physics.” Beijing: Academica Sinica High-Energy Physics Research Institute, November 1989. Mack, John E. Abduction: Human Encounters with Aliens. New York: Ballantine Books, 1994. Mallon, Thomas. Mrs. Paine’s Garage: And the Murder of John F. Kennedy. New York
7000	8000	Section 38: c: An Analysis of Symbolic Degrees. San Francisco: Robert Briggs Associates, 1982. Schroeder, Lynn, and Sheila Ostrander. Psychic Discoveries Behind the Iron Curtain. New York: Prentice-Hall, 1970. Shklovskii, I. S., and Carl Sagan. Intelligent Life in the Universe. New York: Dell, 1966. Shough, Martin. “The Singular Adventure of Kenneth Arnold.” Richard F. Haines papers. Collection No. 12722, Box 1. American Heritage Center. University of Wyoming
8000	9000	Section 38: d by Major General John A. Samford, Director of Intelligence, U.S. Air Force, 29 July 1952, 4:00 pm, Room 3E-869, The Pentagon.” US Department of Justice. Report On The Investigation Into Russian Interference in the 2016 Presidential Election, Vol. I of II, by Robert S. Mueller III. Washington, D.C., March 2019. US Navy. Memorandum from Chief of Naval Operations to Commander-in-Chief, US Atlantic Fleet, and Commander-in-Chief, US Pacific Fleet. “Subject: Ant
9000	10000	Section 10: d motto. —George Pendle, Strange Angel: The Otherworldly Life of Rocket Scientist John Whiteside Parsons38 Halloween [1936], at 9 a.m., a truck from the California Institute of Technology turned on to a road owned by the Pasadena Water Department and after heading down a small hill came to a stop. Its tired occupants . . . were . . . Frank Malina, Jack Parsons, Ed Forman, A.O. Smith, William Bollay, Carlos Wood and William Rockefeller. Malina was a graduate stud
10000	11000	Section 38: tp://metro.co.uk/2018/05/08/religious-pentagon-mod-officials-thought-ufos-demonic-divine-former-government-investigators-reveal-7529174/. Accessed June 1, 2018. Hastings, Robert. UFOs & Nukes: Extraordinary Encounters at Nuclear Weapons Sites. Robert Hastings, 2017. Hermans, H. G. M. Memories of a Maverick. Maassluis, The Netherlands: 1998. Howe, Linda Moulton. “U.S. Navy Flight Engineer Saw Silver Discs and Entrance to Alleged E.T. Base in Antarctica.” Eart
11000	12000	Section 38: 9. Truxxi, Marcello. “China’s Psychic Savants.” Omni. January 1985. Contained in CIA document CIA-RDP96-00792R000300420017-1. US Air Force. Unidentified Aerial Objects, Project Sign. Technical Report No. F-TR-2274-IA. HQ Air Materiel Command, Wright-Patterson Air Force Base, Dayton, OH. February 1949. US Air Force. “Memorandum for the Officer in Charge,” from Frank M. Brown, S/A CIC 4th AF. 4AF 1208 I. July 16, 1947. US Congress. House of Representatives. C
12000	13000	Section 38: San Antonio: Anomalist Books, 2012. Tchoumatchenco, Platon, and Michel Wiazemsky. “Geologists of Russian Origin in the USA.” In Annales Géologiques de la Péninsule Balkanique, Tome LXXVI. Belgrade: 2015. Tesla, Nikola. “World Speaks to World with Mysterious Signals Through Vast Space, Tesla, the Electrician, Says He Received A MESSAGE FROM MARS.” The Examiner LXXII. Front page. January 4, 1901. “The Spark of a New Era.” NASA/JPL web page. October 2
13000	14000	Section 38: . January 1966. Federal Bureau of Investigation. “Affidavit” by Fred L. Crisman and Harold Dahl. FBI Seattle office. August 7, 1947. ———. “FLYING DISCS SIGHTED BY [redacted], TACOMA WASHINGTON, SM-X,” memorandum from SAC Jack B. Wilcox. August 19, 1947. ———. “Ray Douglas Bradbury.” FBI Report 1192589-000-HQ 100-431061 Section 1-1084160. ———. “USSR, PRC Scientists in Joint Study of UFO’s.” May 21, 1990. Government of Australia. “Scientific Intelligence
14000	15000	Section 38: 4927.html. Accessed January 28, 2024 Smith, Michael G. Rockets & Revolution: A Cultural History of Early Spaceflight. Lincoln, NE: University of Nebraska Press, 2014. Stanyukovich, K. P. “On the Increase of Entropy in an Infinite Universe.” Doklady, Akademiia Nauk SSSR, n.s., vol. LXI~ (1949): 793. In Russian, as summarized by L. Tisza in Mathematical Reviews XII (1951): 787. As cited in Boston Studies in the Philosophy of Science, Volume XII, Philosophi
15000	16000	Section 13: origin of Project Blue Book, the Air Force’s UFO investigation program that took over from Project Grudge and was placed under the leadership of Captain Edward J. Ruppelt. The individual responsible for this decision was General Charles P. Cabell, future director of the Central Intelligence Agency. In May 1952, L. Ron Hubbard formally announced the founding of Scientology in Phoenix, Arizona. On May 15, 1952, the movie Red Planet Mars opened. The ending of the f
16000	17000	Section 12: ony by President John F. Kennedy personally. He died later that year, in Germany. Von Kármán was at the center of America’s military-industrial complex. He helped to create it. He and colleagues like General Hap Arnold, Major Teddy Walkowicz, Laurance Rockefeller, and others were responsible for setting up the Aerojet Corporation, the Scientific Advisory Group, McDonnell Aircraft, Eastern Airlines, Pan American World Airways, the RAND Corporation, Itek, and
17000	18000	Section 38: ee on Military Affairs. Elimination of German Resources for War:Hearings before a Subcommittee of the Committee on Military Affairs. 1945. US Department of Defense. “Minutes of Press Conference held by Major General John A. Samford, Director of Intelligence, U.S. Air Force, 29 July 1952, 4:00 pm, Room 3E-869, The Pentagon.” US Department of Justice. Report On The Investigation Into Russian Interference in the 2016 Presidential Election, Vol. I of
18000	19000	Section 38: menski, Andrei. Red Shambhala: Magic Prophecy, and Geopolitics in the Heart of Asia. Wheaton, IL: Quest Books, 2011. Zündel, Ernst, and Willibald Mattern. UFOs: Nazi Secret Weapon? Toronto: Samisdat Press, 1974. Arnold, General Henry H. “Hap.” Preliminary Design of an Experimental World-Circling Spaceship. RAND Corporation, May 2, 1946. Browning, Earl S., Jr., Major, Infantry, S-3. Earl S. Browning, Jr., to Distribution. “Subject: Flying Saucers.” F
19000	20000	Section 10: me year, Winston Churchill gives his famous Iron Curtain speech, and the Cold War with the Soviet Union officially begins. And on December 13, 1947, the Russian artist, mystic, seer, political adventurer, and UFO witness Nicholas Roerich dies. He was seventy-three. In Pasadena, Jack Parsons tries to convince his new wife, Marjorie Cameron, to stop over in London on her way to Europe to see Aleister Crowley in person. She is all set to do this when word
20000	21000	Section 13: ly, on June 27, 1953, another séance was conducted with Dr. Vinod as the medium. Attending were Andrija Puharich, Hank Jackson and his wife Georgianna, Arthur Young (credited with inventing the Bell helicopter), his wife Ruth Forbes Paine Young, Marcella DuPont, Alice Bouverie, Carl Betz, and Vonnie Beck. These were the human “Nine” who mirrored the extraterrestrial Nine. We have already spoken about Hank and Georgianna Jackson. Carl Betz was called an “agent-
21000	22000	Section 31: een Crisman and Dahl, a relationship that went on for at least another twenty years and that involved a variety of activities that have “spook” written all over them. On November 21, 1968, Fred Lee Crisman found himself in front of the Orleans Parish grand jury, being questioned by James Alcock, Andrew Sciambra, Alvin Oser, and Numa Bertel: prosecutors an
22000	23000	Section 32: (DIA) compiled voluminous materials on what the Chinese were doing in regard to developing hidden capabilities of the human body. For instance, among the CIA/DIA documents approved for release is “Preliminary Query into Extraordinary Human Body Functions and Multi-State Physics” by Liu Yicheng of the Academica Sinica High-Energy Physics Research Institute, dated November 1989 in Beijing. This was a paper prepared for the China Society of Somatic Science. “Somatic scienc
23000	24000	Section 38: ntalism. New York: Pantheon, 1978. Sanderson, Ivan T. “M. K. Jessup.” Pursuit. September 30, 1968. Schlemmer, Phyllis V. The Only Planet of Choice. N.d. Schroeder, Eric. Zodiac: An Analysis of Symbolic Degrees. San Francisco: Robert Briggs Associates, 1982. Schroeder, Lynn, and Sheila Ostrander. Psychic Discoveries Behind the Iron Curtain. New
24000	25000	Section 38: ase April 2, 2001. ———. CIA-RDP96-00792R000300410002-8. Approved for release August 11, 2000. ———. “HF Communications Facilities at Soviet MRBM and ICBM Complexes (Update).” CIA-RDP78T04759A003400010031-6. January 1966. Federal Bureau of Investigation. “Affidavit” by Fred L. Crisman and Harold Dahl. FBI Seattle office. August 7, 1947. ———. “FLYING DISCS SIGHTED BY [redacted], TACOMA WASHINGTON, SM-X,” memorandum from SAC Jack B. Wilcox. August 19, 19
25000	26000	Section 38: nvestigation Into Russian Interference in the 2016 Presidential Election, Vol. I of II, by Robert S. Mueller III. Washington, D.C., March 2019. US Navy. Memorandum from Chief of Naval Operations to Commander-in-Chief, US Atlantic Fleet, and Commander-in-Chief, US Pacific Fleet. “Subject: Antarctic Developments Project, 1947 (Operation HIGHJUMP).” August 26, 1946. ———. Memorandum from Commander Task Force Sixty-Eight to Chief of Naval Operations. “Subj
26000	27000	Section 38: n. “China military uses AI to track rapidly increasing UFOs.” South China Morning Post. June 4, 2021. von Clausewitz, Carl. On War. London: Wordsworth, 2000. Cook, Nick. The Hunt for Zero Point: Inside the Classified World of Antigravity Technology. New York: Broadway Books, 2001. DeLonge, Tom with Peter Levenda. Sekret Machines: Gods. Encinitas, CA: To The Sta
27000	28000	Section 10: logy turned on to a road owned by the Pasadena Water Department and after heading down a small hill came to a stop. Its tired occupants . . . were . . . Frank Malina, Jack Parsons, Ed Forman, A.O. Smith, William Bollay, Carlos Wood and William Rockefeller. Malina was a graduate student at nearby Caltech. He had read Jules Verne as a child . . . His associate Parsons was a freethinking explosives expert who dabbled in pagan rituals and liked to kee
28000	29000	Section 10: ma, Washington. Debris rains down from the UFO, killing a dog on the boat. One of the men on the boat is Harold Dahl. He reports the incident to Fred Lee Crisman. Fred Lee Crisman will—twenty years later—be subpoenaed by New Orleans District Attorney Jim Garrison in connection with the John F. Kennedy assassination. One of the FBI agents sent by J. Edgar Hoover to investigate these UFO sightings in the Pacific Northwest—including Tacoma—is Guy Banister. Guy Banister
29000	30000	Section 12: Project Sign and its later iteration as Project Grudge. For instance, Dr. Irving Langmuir of General Electric Research and Dr. G. E. Valley of MIT were both involved in providing assistance to Project Grudge, as well as Dr. Joseph Kaplan, who personally investigated the “green fireball” phenomenon that was witnessed in New Mexico and that raised “considerable concern on the part of Hq. Fourth Army and has occupied the interests of Dr. Lincoln LaPaz of t
30000	31000	Section 13: Bailey, TheUrantiaBook, the Foundation for the Study of Consciousness, a director of the CIA, a vice president of the United States, a signer of the Declaration, and—as the story unfolds—the Pentagon, the CIA itself, the Stanford Research Institute (SRI), DARPA, Nikola Tesla, magic mushrooms, Uri Geller, Arigo the psychic surgeon, Bell Helicopter and Bell Aerospace, Nazi scientists, the ascended masters . . . and Lee Harvey Oswald. Critics of the UFO Phenomenon al
31000	32000	Section 31: r, and—it is alleged—Lee Harvey Oswald. Fred Lee Crisman was a prime actor in the Maury Island affair, was interviewed by Kenneth Arnold, knew Thomas Beckham and Michael Riconosciuto, and was questioned by Jim Garrison’s Grand Jury in New Orleans in connection with the Kennedy assassination. It’s a long way from Tacoma to the French Quarter as the crow flies, but in the world of clandestine operations and deep politics they’re in the same neighbor
