start	end	text
32000	33000	Section 32: ding of reality, then their sense of history had to be different, too. Marco Polo had something to do with that, as did Helena Blavatsky and her Theosophical musings, and Rudyard Kipling and the “white man’s burden”; and Sir Richard Burton and the Thousand and One Nights. The Kama Sutra, and the Prayer Mat of Flesh. The I Jing and TheSerpent Power. Then there was Lobsang Rampa, Alexandra David-Néel, Fu Manchu, and Suzie Wong. What Edward Said characterize
33000	34000	Section 10: Sekret_Machines_-_WAR_ebook-3 Parsons was making plans of a sort. With Ed Forman he formed the Ad Astra Engineering Company, its name taken from their childhood motto. —George Pendle, Strange Angel: The Otherworldly Life of Rocket Scientist John Whiteside Parsons38 Halloween [1936], at 9 a.m., a truck from the California Institute of Technology turned on to a road owned by the Pasadena Water Department and after h
34000	35000	Section 13: as extraterrestrial matters even before her association with Puharich; she published a short poem, “The Binary,” that referenced the binary star Algol and its “dark companion” on July 8, 1950. She was also present at an American Liberty League fundraiser at the Mayflower Hotel in New York City for presidential hopeful and former New York Governor Alfred E. Smith who characterized Franklin D. Roosevelt as a Communist working hand-in-glove with the Soviet Union
35000	36000	Section 13: on which George Adamski claims he met a Venusian who landed in the Colorado Desert, thus starting a kind of UFO cult that made headlines around the world. Adamski had previously been involved with something he called the Royal Order of Tibet (see below). On November 24, 1952, Puharich briefed the Pentagon on the military uses of parapsychology in “An Evaluation of Possible Usefulness of Extrasensory Perception in Psychological Warfare.” Puharich cl
36000	37000	Section 13: something he called the Royal Order of Tibet (see below). On November 24, 1952, Puharich briefed the Pentagon on the military uses of parapsychology in “An Evaluation of Possible Usefulness of Extrasensory Perception in Psychological Warfare.” Puharich claims to have been working with the US Navy on something called Project Penguin, which was an experimental program in the military applications of ESP, a subject to which we will return later. On December 31
37000	38000	Section 13: o talk to Mars, in which Chris and his wife were killed along with the Nazi scientist Calder. On June 17, 1952, rocket scientist and occultist Jack Parsons dies in an explosion in his laboratory in Pasadena, California. On July 19, 1952, the famous UFO swarm over Washington, D.C., begins. It continues on July 20, 1952, and then on the following weekend, July 26 and July 27, 1952, prompting the US Air Force to hold a press conference on July 29
38000	39000	Section 12: oup circulated a report entitled Preliminary Design of an Experimental World-Circling Spaceship. It was a 340-page compilation of different reports on the subject under the aegis of the Douglas Aircraft Company, based in Santa Monica, California, and dated May 2, 1946. The first artificial satellite in human history was the Soviet Union’s Sputnik 1, which was not launched until 1957: seven years after Arnold’s death and more than ten years after the
39000	40000	Section 13: individual responsible for this decision was General Charles P. Cabell, future director of the Central Intelligence Agency. In May 1952, L. Ron Hubbard formally announced the founding of Scientology in Phoenix, Arizona. On May 15, 1952, the movie Red Planet Mars opened. The ending of the film involves a massive explosion of the specialized radio equipment that Chris Cronyn was using to talk to Mars, in which Chris and his wife were killed alo
40000	41000	Section 31: It is addressed to the director of the FBI, who at the time was J. Edgar Hoover, and is a fourteen-page memo, signed by SAC (“Special Agent in Charge”) Jack B. Wilcox, with copies to the FBI offices in Butte, Portland, San Francisco, and Chicago. The Butte, Montana, field office at that time was run by W. Guy Banister (1901–1964), the man who would eventually retire to New Orleans and become embroiled in events surrounding Lee Harvey Oswald and the
41000	42000	Section 13: Arthur Young. Walter Cabot Paine—as mentioned previously—was an oilman who donated large sums of money to Puharich and the Round Table Foundation. He was related to George Lyman Paine, and both were direct descendants of Robert Treat Paine, a signer of the Declaration of Independence. Ruth Paine was an artist and a patron of the arts. Her close friend was Mary Bancroft: the mistress of Allen Dulles, former OSS chief in Bern, Switzerland, during World War
42000	43000	Section 13: the Round Table Foundation, it was active for about a decade until Puharich started the Intelectron Corporation. During that period, however, Puharich managed to attract a host of celebrities and old money to his cause. Aldous Huxley, former Vice President Henry Wallace, and oil man Walter Cabot Paine were members. Add to that such notables as Arthur Young, Marcella DuPont, Ava Astor, and a number of psychics and religious specialists as well as ele
43000	44000	Section 31: ation—were members of something called the American Orthodox Catholic Church. Other members included Tommy Jude Baumler (who had worked for Guy Banister and whose claim to fame was incorporating the Process Church of the Final Judgment, a group that had once been suspected of having connections to everything from the Manson Family to the Robert F. Kennedy assassination) as well as Walter Propheta, the church’s founder, a former Ukrainian Orthodox prie
44000	45000	Section 11: ited States under Operation Paperclip. We now know that this operation permitted not only hundreds but thousands of individuals to come to the United States to work for the US Army and eventually the US Air Force and the National Advisory Committee on Aeronautics: NACA, which would eventually become NASA, the National Aeronautics and Space Administration. As we have seen, in June of 1947 General Walter Dornberger was assigned to Wright Field in Ohio under Papercli
45000	46000	Section 12: . It was his son-in-law—Michael Paine—who worked for Bell Aerospace in Texas at the time of the Kennedy assassination. Michael Paine’s wife—Ruth Paine—was a friend of Lee and Marina Oswald and was instrumental in getting Lee Harvey Oswald his job at the Texas Schoolbook Depository in 1963. As Dornberger and von Braun and the other Paperclip scientists were feathering their nests in America, Hans Kammler was still nowhere to be found. There were rumors he
46000	47000	Section 12: stitutions like NACA and NASA, not to mention the armed services (the Air Force in particular). In all of this frantic activity, 1947 was a pivotal year. The CIA was chartered that year, and the Army Air Force became the United States Air Force, a separate entity. At the time of the Roswell event, von Kármán and Teddy Walkowicz were in Europe researching Nazi weapons development programs. At that same time, General Walter Dornberger was being welcomed to Wrigh
47000	48000	Section 31: did not read the letter until three weeks later on July 15 and, not knowing who Ray Palmer was, pondered the letter for a while before answering it and sending Palmer a carbon copy of the report he had written up for the Air Materiel Command at Wright Airfield in Ohio. This was in July 1947: the same month and year as the arrival of Nazi General Walter Dornberger at Wright Field, under the Operation Paperclip program, and the same month and year that the de
48000	49000	Section 32: nary Query into Extraordinary Human Body Functions and Multi-State Physics” by Liu Yicheng of the Academica Sinica High-Energy Physics Research Institute, dated November 1989 in Beijing. This was a paper prepared for the China Society of Somatic Science. “Somatic science” became the official English term used by the Chinese government to refer to a wide range of studies involving qigong, meditation, ESP, and the like, emphasizing its relationship to
49000	50000	Section 33: ense. The New York Times published an article on October 11, 1989, just days after the Voronezh incident, in which TASS—the official news agency of the Soviet regime—insisted that the incident was genuine. Entitled “U.F.O. Landing is Fact, Not Fantasy, the Russians Insist,” it appeared in section A, page 6, of the national edition. This early report contains all the elements we read in Vallée’s account, up to and including the landing of a craft
50000	51000	Section 10: ecovered Roswell debris to Wright Field, the National Security Act is signed and the Central Intelligence Agency is created, as well as the Department of Defense. James Forrestal is named the first Secretary of Defense. Rear Admiral Roscoe Hillenkoetter is named the first Director of the CIA. (Hillenkoetter would later go on to become one of the first governors of the National Investigations Committee on Aerial Phenomena, or NICAP, from 1957–1962. At the time, NICAP wa
51000	52000	Section 10: iated on February 15 at the Agape Lodge location on Winona Boulevard in Los Angeles. By that time, the Rocket Research Group had found itself fully funded by the US Army. In September 1939, Germany invaded Poland and the Second World War was underway. Although the United States would not formally enter the conflict until after the attack on Pearl Harbor on December 7, 1941, the Army knew it was only a matter of time before America would become involved.
52000	53000	Section 12: however, General Arnold’s proposal to use satellites as spy systems was impossibly fantastic, even for a man of his prodigious abilities and intelligence. Yet, in 1946, his Project RAND group circulated a report entitled Preliminary Design of an Experimental World-Circling Spaceship. It was a 340-page compilation of different reports on the subject under the aegis of the Douglas Aircraft Company, based in Santa Monica, California, and dated May 2, 1946. T
53000	54000	Section 12: owever, over his claim to have been the first to reach the South Pole by air (1929). On August 26, 1946, the Antarctic Developments Project (code-named Operation HIGHJUMP) was instituted, on the order of Secretary of the Navy James Forrestal. Admiral Byrd was designated as the project’s organizer, and he was given an extremely short time in which to put the project in motion for it was determined that the convoy should reach Antarctica by December of that y
54000	55000	Section 10: New Orleans where he set up a private detective agency and become another suspect in Garrison’s probe of the Kennedy assassination. In July, the same month as the shipment of recovered Roswell debris to Wright Field, the National Security Act is signed and the Central Intelligence Agency is created, as well as the Department of Defense. James Forrestal is named the first Secretary of Defense. Rear Admiral Roscoe Hillenkoetter is named the first Director of t
55000	56000	Section 11: azi invasion of Russia and their shared abhorrence of Communism. One of these individuals who was brought to the United States under Operation Paperclip was Hubertus Strughold: the man who would create the US Air Force’s Aviation Medicine center at Randolph Air Force Base outside of San Antonio, Texas. Strughold had been responsible for some of the Reich’s most heinous experimentation on human subjects culled from the concentration camps. At Randolph, he
56000	57000	Section 12: d personnel, most of which had been relocated to the area around Nordhausen after the Operation Crossbow raids. Von Kármán became the director of the newly formed Armed Forces Scientific Advisory Group (also known as the Army Air Force Scientific Advisory Group, or AAF-SAG), a hand-picked team of thirty-one engineering and science specialists, and he began to concentrate on finding as many German scientists, technical documents, and weapons prototypes as possibl
57000	58000	Section 12: ed to escape to countries where they would not be prosecuted. There was virtually no way one could engage in an anti-Soviet intelligence campaign without relying on the expertise, experience, and access of former Nazis. Former Nazi general Reinhard Gehlen, for instance, was put in charge of West Germany’s intelligence service—the BND—after he and his network of German agents had served as CIA’s espionage arm against the Soviet Union. All of this w
58000	59000	Section 12: ermany—getting his mail routed through the air attachés in the respective US embassies. While his West Coast protégés could be said to be Jack Parsons, Frank Malina, Qian Xuesen, and the rest of the Suicide Squad, on the East Coast it was William Perl, the Soviet spy who made himself indispensable. It is clear from the correspondence seized by the FBI that Perl performed essential services for Professor von Kármán and was entrusted with classified
59000	60000	Section 12: f the innovative physics research that was taking place in Europe at the time. Von Kármán resided at the same boarding house in the city as Max Born, one of the primary developers of quantum mechanics and an associate of Werner Heisenberg, Max Planck, Albert Einstein, Fritz Haber . . . and J. Robert Oppenheimer.77 It was a small world, threatened only by the rise of the Nazi Party in Germany, the firing of Jewish professors (even at Göttingen), and the p
60000	61000	Section 12: red, possibly because they do not see the connection). Von Kármán, however, also was involved in the UFO investigations of the late 1940s, and members of his SAG were involved with Project Sign and its later iteration as Project Grudge. For instance, Dr. Irving Langmuir of General Electric Research and Dr. G. E. Valley of MIT were both involved in providing assistance to Project Grudge, as well as Dr. Joseph Kaplan, who personally investigated the “gr
61000	62000	Section 13: ities. Joyce Borden wrote her book on initiation and Shambhala, reflecting her interest in Alice Bailey’s work as well as that of Nicholas Roerich and Eugene Cosgrove. It should be remembered that Roerich was a friend of Henry Wallace who was himself a financial patron of Puharich’s Round Table Foundation. Thus, there was an incestuous inner circle that influenced—and was influenced by—Andrija Puharich’s experiments with the paranormal and his ongoin
62000	63000	Section 13: nce to even bring it up in passing had more to do with the fact that two members of the original Nine—Arthur Young and his wife Ruth Forbes Paine Young—were related by marriage to a key personality in the assassination: Ruth Hyde Paine. Ruth Paine was married to Michael Paine, the son of Mrs. Young by her former husband, George Lyman Paine. It was Ruth Paine who, with the reason that she wanted to learn Russian, invited Marina Oswald to live with her
63000	64000	Section 31: ch of the Final Judgment, a group that had once been suspected of having connections to everything from the Manson Family to the Robert F. Kennedy assassination) as well as Walter Propheta, the church’s founder, a former Ukrainian Orthodox priest and right-wing ideologue who was a major player in the anti-Communist movement and a friend of J. Edgar Hoover of the FBI. To make matters more intriguing, as revealed in his grand jury testimony, Crisman was als
64000	65000	Section 31: rand Jury. Michael Riconosciuto is currently in prison on drug charges, which he claims was the result of a government frame-up due to his affidavit in connection with the PROMIS case.146 Crisman had come a long way from Maury Island, but not far enough. FBI Special Agent Guy Banister—who had been involved in investigating the Maury Island affair and who had reported on Kenneth Arnold—had transferred first to Chicago where he was Special Agent in Ch
65000	66000	Section 32: assured destruction (MAD) and of missiles targeting American cities from Russia, and Russian cities from America. There were proxy wars—hot wars—between the superpowers taking place in Asia, Africa, the Middle East, and Latin America. There were U-2 flights over the Soviet Union—an aircraft that was designed and built in a remote test site that would become known as the notorious Area 51 in Nevada, just outside Las Vegas—until Francis Gary Powers wa
66000	67000	Section 32: emons and evil spiritual forces. This is not a situation one comes across in such solidly antireligious governments as China and the former Soviet Union. While Russia has changed from the Marxist-Leninist ideology of the October Revolution and has embraced Russian Orthodoxy (at least officially, through Putin and his support of the Russian Orthodox Church, not to mention the influence of occultist gadflies like Aleksandr Dugin), there is still a marked te
67000	68000	Section 32: hite man’s burden”; and Sir Richard Burton and the Thousand and One Nights. The Kama Sutra, and the Prayer Mat of Flesh. The I Jing and TheSerpent Power. Then there was Lobsang Rampa, Alexandra David-Néel, Fu Manchu, and Suzie Wong. What Edward Said characterized as “Orientalism”: a kind of fantasy of the East as mystical, barbaric, and sensual: the realm of the “Magic Asian.” It was fiction, of course, or the reality as experienced by European tr
68000	69000	Section 12: cientist most credited with having crafted the controversial report to General Vandenberg (a document known as “The Estimate of the Situation”)—Alfred Loedding—patented his own “flying saucer” design on August 25, 1948. Titled Low Aspect Ratio Aircraft, it was granted patent number US 2,619,302 on November 25, 1952. The dates are suggestive. August 1948 was deep in the middle of Project Sign, which lasted all of that year. It lends credence to the idea—curren
69000	70000	Section 36: e between the dropping of the atomic bombs on Hiroshima and Nagasaki in August of 1945, and the Soviet Union’s first successful atomic bomb test in August of 1949. On March 5, 1946, Winston Churchill delivered his famous Iron Curtain speech, which signaled the beginning of the Cold War between the Soviet Union and the West. Thus, less than a year after the end of the hostilities of the Second World War, the world was once again in a dangerous situat
70000	71000	Section 10: d Roswell was where the 393rd Bomb Squadron of the 509th Bombardment Wing was based: the unit of the Army Air Force that dropped the atomic bombs on Hiroshima and Nagasaki in August of 1945. I decided upon the use of the Enochian Tablets obtained by Dr. Dee and Edward Kelley . . .53 By all accounts, Lieutenant L. Ron Hubbard did not cover himself with glory during the war. His accounts of his service included military actions that the Navy claims were i
71000	72000	Section 10: O aircraft design. He was also an occultist, initiated into the Crowley system and conducting magical rituals using the angelic methods developed by John Dee. Obviously, this needs some explanation. Jack Parsons was born Marvel Whiteside Parsons on October 2, 1914, in Los Angeles, California. His early childhood was tumultuous, his parents divorcing shortly after his birth. His father went on to remarry and to become an officer in the US Army. His mother remain
72000	73000	Section 10: tanford but due to financial straits during the Great Depression, Parsons was forced to leave university and strike out on his own. In 1934, he and Forman and local Caltech graduate student Frank Malina formed the GALCIT Rocket Research Group (more informally known as the “Suicide Squad” because of the constant explosions and noxious gases with which they were associated). GALCIT (the acronym for Guggenheim Aeronautical Laboratory at the California Institute
73000	74000	Section 10: uded A. E. van Vogt, Jack Williamson (who invented the term “terraforming” in one of his stories), Robert Heinlein, and others. Los Angeles had become the hub for a new galaxy of writers in the mold of Jules Verne and H.G. Wells, and they were orbiting around people like Parsons and groups like the OTO. Things were not all rosy at Agape Lodge at this time, however. In June 1941, Parsons began an affair with his wife’s seventeen-year-old sister,
